,Pyrocosm1Neg_N1_T1,Pyrocosm1Neg_N2_T1,Pyrocosm1Neg_N3_T1,Pyrocosm1Neg_N4_T1,Pyrocosm1Neg_N1_T2,Pyrocosm1Neg_N2_T2,Pyrocosm1Neg_N3_T2,Pyrocosm1Neg_N4_T2,Pyrocosm1_F1_T1,Pyrocosm1_F2_T1,Pyrocosm1_F4_T1,Pyrocosm1_F1_T2,Pyrocosm1_F2_T2,Pyrocosm1_F3_T2,Pyrocosm1_F4_T2,Pyrocosm2_F3_T1,Pyrocosm2_F4_T1,Pyrocosm2_F1_T2,Pyrocosm2_F2_T2,Pyrocosm2_F3_T2,Pyrocosm2_F1_T3,Pyrocosm2_F2_T3,Pyrocosm2_F3_T3,Pyrocosm2_F4_T3,taxonomy,species
OTU_495,0,0,2,0,0,2,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,k__Fungi; p__Ascomycota; c__Dothideomycetes; o__Hysteriales; f__Gloniaceae; g__Cenococcum; s__Cenococcum sp,Cenococcum sp
OTU_510,0,0,31,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,k__Fungi; p__Ascomycota; c__Dothideomycetes; o__Hysteriales; f__unidentified; g__unidentified; s__Hysteriales sp,Hysteriales sp
OTU_1540,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,k__Fungi; p__Ascomycota; c__Dothideomycetes; o__Hysteriales; f__unidentified; g__unidentified; s__Hysteriales sp,Hysteriales sp
OTU_285,0,0,0,0,8,7,1,1,7,0,2,4,1,0,0,0,3,0,0,0,0,0,3,4,k__Fungi; p__Ascomycota; c__Dothideomycetes; o__Incertae sedis; f__Myxotrichaceae; g__Oidiodendron; s__Oidiodendron chlamydosporicum,Oidiodendron chlamydosporicum
OTU_1564,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,k__Fungi; p__Ascomycota; c__Dothideomycetes; o__Incertae sedis; f__Myxotrichaceae; g__Oidiodendron; s__Oidiodendron sp,Oidiodendron sp
OTU_1148,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,k__Fungi; p__Ascomycota; c__Dothideomycetes; o__Incertae sedis; f__Pseudeurotiaceae; g__Pseudogymnoascus; s__Pseudogymnoascus verrucosus,Pseudogymnoascus verrucosus
OTU_208,16,9,4,1,7,13,5,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,k__Fungi; p__Ascomycota; c__Dothideomycetes; o__Pleosporales; f__Incertae sedis; g__Pyrenochaeta; s__Pyrenochaeta sp,Pyrenochaeta sp
OTU_490,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,k__Fungi; p__Ascomycota; c__Dothideomycetes; o__Pleosporales; f__Incertae sedis; g__Pyrenochaeta; s__Pyrenochaeta sp,Pyrenochaeta sp
OTU_220,3,0,0,0,23,5,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,k__Fungi; p__Ascomycota; c__Dothideomycetes; o__Pleosporales; f__Incertae sedis; g__Pyrenochaeta; s__Pyrenochaeta sp,Pyrenochaeta sp
OTU_162,8,0,0,0,26,1,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,k__Fungi; p__Ascomycota; c__Dothideomycetes; o__Pleosporales; f__Leptosphaeriaceae; g__Leptosphaeria; s__Leptosphaeria biglobosa,Leptosphaeria biglobosa
OTU_890,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,k__Fungi; p__Ascomycota; c__Dothideomycetes; o__Pleosporales; f__Lophiostomataceae; g__Lophiostoma; s__Lophiostoma compressum,Lophiostoma compressum
OTU_494,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,k__Fungi; p__Ascomycota; c__Dothideomycetes; o__Pleosporales; f__Lophiostomataceae; g__Lophiostoma; s__Lophiostoma sp DMW2181,Lophiostoma sp DMW2181
OTU_454,2,0,0,0,1,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,k__Fungi; p__Ascomycota; c__Dothideomycetes; o__Pleosporales; f__Mytilinidiaceae; g__unidentified; s__uncultured Lophium,uncultured Lophium
OTU_445,0,0,0,4,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,k__Fungi; p__Ascomycota; c__Dothideomycetes; o__Pleosporales; f__Mytilinidiaceae; g__unidentified; s__uncultured Lophium,uncultured Lophium
OTU_158,2,9,3,15,21,4,3,29,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,4,k__Fungi; p__Ascomycota; c__Dothideomycetes; o__Pleosporales; f__Mytilinidiaceae; g__unidentified; s__uncultured Lophium,uncultured Lophium
OTU_52,359,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,k__Fungi; p__Ascomycota; c__Dothideomycetes; o__Pleosporales; f__Phaeosphaeriaceae; g__Phaeosphaeria; s__Phaeosphaeria sp,Phaeosphaeria sp
OTU_202,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,k__Fungi; p__Ascomycota; c__Dothideomycetes; o__Pleosporales; f__Phaeosphaeriaceae; g__Phaeosphaeria; s__Phaeosphaeria sp 20081120,Phaeosphaeria sp 20081120
OTU_63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,7,0,0,0,k__Fungi; p__Ascomycota; c__Dothideomycetes; o__Pleosporales; f__Pleosporaceae; g__unidentified; s__Pleosporaceae sp,Pleosporaceae sp
OTU_74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,k__Fungi; p__Ascomycota; c__Dothideomycetes; o__Pleosporales; f__Pleosporaceae; g__unidentified; s__Pleosporaceae sp RS_5,Pleosporaceae sp RS_5
OTU_373,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,k__Fungi; p__Ascomycota; c__Dothideomycetes; o__Pleosporales; f__Sporormiaceae; g__Preussia; s__Preussia sp,Preussia sp
OTU_292,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,k__Fungi; p__Ascomycota; c__Dothideomycetes; o__Pleosporales; f__Sporormiaceae; g__Preussia; s__Preussia sp,Preussia sp
OTU_383,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,k__Fungi; p__Ascomycota; c__Dothideomycetes; o__Pleosporales; f__Sporormiaceae; g__Preussia; s__Preussia sp,Preussia sp
OTU_506,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,k__Fungi; p__Ascomycota; c__Dothideomycetes; o__Pleosporales; f__Sporormiaceae; g__Preussia; s__Preussia sp,Preussia sp
OTU_1235,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,k__Fungi; p__Ascomycota; c__Dothideomycetes; o__Pleosporales; f__Sporormiaceae; g__Preussia; s__Preussia sp,Preussia sp
OTU_103,11,0,8,3,0,0,34,146,3,0,0,0,0,0,0,7,1,0,0,0,0,0,0,29,k__Fungi; p__Ascomycota; c__Dothideomycetes; o__Pleosporales; f__Sporormiaceae; g__Preussia; s__Preussia tetramera,Preussia tetramera
OTU_267,6,0,0,0,0,7,22,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,k__Fungi; p__Ascomycota; c__Dothideomycetes; o__Pleosporales; f__Sporormiaceae; g__Preussia; s__Preussia tetramera,Preussia tetramera
OTU_2339,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,k__Fungi; p__Ascomycota; c__Dothideomycetes; o__Pleosporales; f__Sporormiaceae; g__Preussia; s__Preussia tetramera,Preussia tetramera
OTU_148,0,0,0,0,0,0,2,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,k__Fungi; p__Ascomycota; c__Dothideomycetes; o__Pleosporales; f__Sporormiaceae; g__Sporormiella; s__Sporormiella irregularis,Sporormiella irregularis
OTU_374,0,0,20,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,k__Fungi; p__Ascomycota; c__Dothideomycetes; o__Pleosporales; f__Tubeufiaceae; g__unidentified; s__Tubeufiaceae sp,Tubeufiaceae sp
OTU_572,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,k__Fungi; p__Ascomycota; c__Dothideomycetes; o__Pleosporales; f__unidentified; g__unidentified; s__Pleosporales sp,Pleosporales sp
OTU_73,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,k__Fungi; p__Ascomycota; c__Dothideomycetes; o__Pleosporales; f__unidentified; g__unidentified; s__Pleosporales sp,Pleosporales sp
OTU_14,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,k__Fungi; p__Ascomycota; c__Dothideomycetes; o__Pleosporales; f__unidentified; g__unidentified; s__Pleosporales sp,Pleosporales sp
OTU_717,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,k__Fungi; p__Ascomycota; c__Dothideomycetes; o__Pleosporales; f__unidentified; g__unidentified; s__Pleosporales sp,Pleosporales sp
OTU_153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,k__Fungi; p__Ascomycota; c__Dothideomycetes; o__Pleosporales; f__unidentified; g__unidentified; s__Pleosporales sp,Pleosporales sp
OTU_192,0,0,0,0,0,18,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,k__Fungi; p__Ascomycota; c__Dothideomycetes; o__Pleosporales; f__unidentified; g__unidentified; s__Pleosporales sp,Pleosporales sp
OTU_116,32,18,32,24,10,19,24,6,2,0,4,32,0,0,0,0,0,0,0,7,0,0,0,0,k__Fungi; p__Ascomycota; c__Dothideomycetes; o__Pleosporales; f__unidentified; g__unidentified; s__Pleosporales sp,Pleosporales sp
OTU_251,1,5,0,3,5,11,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,k__Fungi; p__Ascomycota; c__Dothideomycetes; o__Pleosporales; f__unidentified; g__unidentified; s__Pleosporales sp,Pleosporales sp
OTU_762,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,k__Fungi; p__Ascomycota; c__Dothideomycetes; o__Pleosporales; f__unidentified; g__unidentified; s__Pleosporales sp,Pleosporales sp
OTU_1077,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,k__Fungi; p__Ascomycota; c__Dothideomycetes; o__Pleosporales; f__unidentified; g__unidentified; s__Pleosporales sp,Pleosporales sp
OTU_2103,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,k__Fungi; p__Ascomycota; c__Dothideomycetes; o__Pleosporales; f__unidentified; g__unidentified; s__Pleosporales sp,Pleosporales sp
OTU_1025,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,k__Fungi; p__Ascomycota; c__Dothideomycetes; o__Pleosporales; f__unidentified; g__unidentified; s__Pleosporales sp,Pleosporales sp
OTU_773,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,k__Fungi; p__Ascomycota; c__Dothideomycetes; o__Pleosporales; f__unidentified; g__unidentified; s__uncultured Pleosporales,uncultured Pleosporales
OTU_397,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,k__Fungi; p__Ascomycota; c__Dothideomycetes; o__Pleosporales; f__Venturiaceae; g__Fusicladium; s__Fusicladium sp,Fusicladium sp
OTU_461,1,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,k__Fungi; p__Ascomycota; c__Dothideomycetes; o__unidentified; f__unidentified; g__unidentified; s__Dothideomycetes sp,Dothideomycetes sp
OTU_76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,k__Fungi; p__Ascomycota; c__Dothideomycetes; o__unidentified; f__unidentified; g__unidentified; s__Dothideomycetes sp,Dothideomycetes sp
