rank,Control,Pyrocosm1,Pyrocosm2,Pyrocosm 1 no Pyronema,Pyrocosm 2 no Pyronema
102,0.17425922,0.014857012,0.0118339,0.039686,0.0246978
103,0.170445064,0.014220283,0.0118339,0.037205,0.0246978
104,0.168299602,0.013795797,0.0118339,0.035965,0.0246978
105,0.167107678,0.013583554,0.0111378,0.034725,0.0246978
106,0.165438985,0.012734582,0.0111378,0.033485,0.0246978
107,0.164485447,0.012310096,0.0111378,0.033485,0.0246978
108,0.15804906,0.011885609,0.0111378,0.032245,0.0231542
109,0.155903597,0.011461123,0.0111378,0.032245,0.0231542
110,0.151851057,0.011461123,0.0111378,0.031004,0.0216106
111,0.151135903,0.011036637,0.0104417,0.031004,0.0216106
112,0.150659134,0.011036637,0.0104417,0.030384,0.0216106
113,0.147321748,0.010612151,0.0097456,0.029764,0.0216106
114,0.144222747,0.010612151,0.0097456,0.029144,0.0216106
115,0.143269208,0.010399908,0.0097456,0.029144,0.0216106
116,0.134210589,0.010187665,0.0097456,0.028524,0.0216106
117,0.130634818,0.009975422,0.0097456,0.028524,0.0200670
118,0.126105509,0.009975422,0.0097456,0.028524,0.0200670
119,0.12515197,0.009763179,0.0097456,0.027904,0.0200670
120,0.1215762,0.009763179,0.0090495,0.027904,0.0200670
121,0.118477199,0.009763179,0.0090495,0.027284,0.0185234
122,0.118238814,0.009550936,0.0090495,0.026664,0.0185234
123,0.114663043,0.009550936,0.0090495,0.026664,0.0185234
124,0.111802427,0.009338693,0.0083533,0.026664,0.0185234
125,0.110610503,0.00912645,0.0083533,0.025424,0.0185234
126,0.110133734,0.00912645,0.0083533,0.025424,0.0185234
127,0.109895349,0.00912645,0.0083533,0.024804,0.0169798
128,0.109656964,0.008701964,0.0083533,0.024183,0.0169798
129,0.108465041,0.008701964,0.0083533,0.023563,0.0169798
130,0.101551884,0.008489721,0.0076572,0.022943,0.0169798
131,0.097976114,0.008277478,0.0076572,0.022943,0.0169798
132,0.09678419,0.008065235,0.0076572,0.022323,0.0169798
133,0.089394264,0.007852992,0.0076572,0.021703,0.0169798
134,0.087248802,0.007852992,0.0076572,0.021703,0.0169798
135,0.087248802,0.007640749,0.0076572,0.021083,0.0169798
136,0.08462657,0.007428506,0.0076572,0.021083,0.0169798
137,0.083911416,0.007428506,0.0076572,0.021083,0.0154361
138,0.081527569,0.007216263,0.0076572,0.020463,0.0154361
139,0.078905337,0.007216263,0.0076572,0.019843,0.0154361
140,0.077475029,0.007216263,0.0069611,0.019223,0.0154361
141,0.07652149,0.00700402,0.0069611,0.019223,0.0154361
142,0.074852797,0.006791777,0.0069611,0.019223,0.0154361
143,0.074137643,0.006579534,0.0069611,0.019223,0.0154361
144,0.07246895,0.006579534,0.0069611,0.018603,0.0154361
145,0.071038642,0.006579534,0.0069611,0.017983,0.0138925
146,0.069369949,0.006579534,0.0069611,0.017363,0.0138925
147,0.067701256,0.006367291,0.0069611,0.017363,0.0138925
148,0.067224487,0.006155048,0.0062650,0.016742,0.0138925
149,0.066509333,0.005942805,0.0062650,0.016742,0.0138925
150,0.06436387,0.005942805,0.0062650,0.016742,0.0123489
151,0.063887101,0.005730562,0.0062650,0.016122,0.0123489
152,0.063648716,0.005730562,0.0062650,0.016122,0.0123489
153,0.061264869,0.005730562,0.0055689,0.015502,0.0108053
154,0.059834561,0.005518319,0.0055689,0.015502,0.0108053
155,0.059834561,0.005518319,0.0055689,0.014882,0.0108053
156,0.059119407,0.005306076,,0.014262,0.0108053
157,0.059119407,0.005306076,,0.014262,0.0108053
158,0.058881022,0.005093833,,0.014262,0.0092617
159,0.057212329,,,0.013642,0.0092617
160,0.057212329,,,0.013642,0.0092617
161,0.057212329,,,0.013642,0.0092617
162,0.056973945,,,0.013642,0.0092617
163,0.055066867,,,0.013642,0.0092617
164,0.053874943,,,0.013642,0.0092617
165,0.053636559,,,0.013642,0.0092617
166,0.05220625,,,0.013022,0.0092617
167,0.051491096,,,0.013022,0.0092617
168,0.051491096,,,0.013022,0.0077181
169,0.050299173,,,0.012402,0.0077181
170,0.049345634,,,0.012402,0.0077181
171,0.048392095,,,0.012402,0.0077181
172,0.04815371,,,0.012402,0.0077181
173,0.047915326,,,0.012402,0.0077181
174,0.047676941,,,0.011782,0.0077181
175,0.047200172,,,0.011782,0.0077181
176,0.046723402,,,0.011782,0.0077181
177,0.045293094,,,0.011782,0.0077181
178,0.045054709,,,0.011782,0.0077181
179,0.04457794,,,0.011162,0.0077181
180,0.043862786,,,0.011162,0.0077181
181,0.042670862,,,0.011162,0.0077181
182,0.042670862,,,0.011162,0.0061745
183,0.041478939,,,0.010542,0.0061745
184,0.039810246,,,0.010542,0.0061745
185,0.039571861,,,0.010542,0.0061745
186,0.038379938,,,0.010542,0.0061745
187,0.038379938,,,0.010542,0.0061745
188,0.038141553,,,0.009921,0.0061745
189,0.038141553,,,0.009921,0.0061745
190,0.037903168,,,0.009921,0.0061745
191,0.037903168,,,0.009301,0.0061745
192,0.037664783,,,0.009301,0.0061745
193,0.037188014,,,0.009301,0.0061745
194,0.037188014,,,0.008681,0.0061745
195,0.036949629,,,0.008681,
196,0.036949629,,,0.008681,
197,0.035757706,,,0.008681,
198,0.035757706,,,0.008681,
199,0.034804167,,,0.008681,
200,0.034327398,,,0.008681,
201,0.033612243,,,0.008681,
202,0.033373859,,,0.008061,
203,0.033135474,,,0.008061,
204,0.032897089,,,0.008061,
205,0.032897089,,,0.008061,
206,0.032181935,,,0.008061,
207,0.031943551,,,0.008061,
208,0.031466781,,,0.008061,
209,0.030274858,,,0.008061,
210,0.030036473,,,0.007441,
211,0.030036473,,,0.007441,
212,0.030036473,,,0.007441,
213,0.030036473,,,0.007441,
214,0.029798088,,,0.006821,
215,0.029559703,,,0.006821,
216,0.029559703,,,0.006821,
217,0.029082934,,,0.006821,
218,0.028844549,,,0.006821,
219,0.028844549,,,0.006821,
220,0.02836778,,,0.006821,
221,0.02836778,,,0.006821,
222,0.02836778,,,0.006821,
223,0.027652626,,,0.006201,
224,0.027652626,,,0.006201,
225,0.027414241,,,0.006201,
226,0.027414241,,,0.006201,
227,0.026937472,,,0.006201,
228,0.026937472,,,0.006201,
229,0.025983933,,,0.006201,
230,0.025745548,,,0.006201,
231,0.025507163,,,0.006201,
232,0.025030394,,,0.005581,
233,0.024553625,,,0.005581,
234,0.024553625,,,0.005581,
235,0.02431524,,,0.005581,
236,0.024076855,,,,
237,0.024076855,,,,
238,0.023838471,,,,
239,0.023838471,,,,
240,0.023600086,,,,
241,0.023123316,,,,
242,0.023123316,,,,
243,0.022646547,,,,
244,0.021693008,,,,
245,0.021454623,,,,
246,0.020977854,,,,
